Mgg [GeV],Nevents,hypothesis,sigma,generating_function
170.0,21738,21769.18229599315,147.439,21769.18229599315
190.0,13773,13667.202634861165,117.3595,13667.202634861165
210.0,8960,8955.635437509693,94.6586,8955.635437509693
230.0,6031,6078.886441287119,77.66112,6078.886441287119
250.0,4260,4250.075987125188,65.27059,4250.075987125188
270.0,2969,3047.241906891136,54.49081999999999,3047.241906891136
290.0,2218,2232.790541621832,47.0983,2232.790541621832
310.0,1662,1667.2790425210385,40.7707,1667.2790425210385
330.0,1274,1265.8978924597925,35.69664,1265.8978924597925
350.0,1002,975.4404099214025,31.65833,975.4404099214025
370.0,739,761.6044400998564,27.18915,761.6044400998564
390.0,632,601.7353653403037,25.144579999999998,601.7353653403037
410.0,475,480.54551717932304,21.80023,480.54551717932304
430.0,389,387.5172145635362,19.72942,387.5172145635362
450.0,309,315.28704756481307,17.58551,315.28704756481307
470.0,272,258.61758231714964,16.5,258.61758231714964
490.0,229,213.72933235246518,15.140999999999998,213.72933235246518
510.0,171,177.858581926274,13.08625,177.858581926274
530.0,154,148.95965552061597,12.41974,148.95965552061597
550.0,126,125.50127553478121,11.2361,125.50127553478121
570.0,109,106.32524563166449,10.452271,106.32524563166449
590.0,96,90.547064908828,10.3064385,90.547064908828
610.0,83,77.48515955389892,9.619547,77.48515955389892
630.0,67,66.60990755300405,8.6954875,66.60990755300405
650.0,61,57.50652382117034,8.3208655,57.50652382117034
670.0,48,49.847764220000926,7.4401545,49.847764220000926
690.0,49,43.373661034840396,7.51183,43.373661034840396
710.0,43,37.876345105468666,7.070056,37.876345105468666
730.0,45,33.18858292797555,7.220542,33.18858292797555
750.0,22,29.175051371172557,5.207934,29.175051371172557
770.0,31,25.72564690701323,6.082583,25.72564690701323
790.0,26,22.75031895429818,5.6151695,22.75031895429818
810.0,22,20.175053639247327,5.207934,20.175053639247327
830.0,20,17.938732142545277,4.9904835,17.938732142545277
850.0,20,15.990658470233464,4.9904835,15.990658470233464
870.0,14,14.288602932591983,4.2634405,14.288602932591983
890.0,8,12.797245360535062,3.356764,12.797245360535062
910.0,12,11.486929987112322,3.9875425,11.486929987112322
930.0,6,10.332664686894464,2.9817865,10.332664686894464
950.0,8,9.313312825933627,3.356764,9.313312825933627
970.0,3,8.410937709246518,2.2754455,8.410937709246518
990.0,9,7.610268516211163,3.5268325000000003,7.610268516211163
1010.0,6,6.89826340941534,2.9817865,6.89826340941534
1030.0,7,6.263750717692799,3.1758755,6.263750717692799
1050.0,7,5.697133118213982,3.1758755,5.697133118213982
1070.0,3,5.190142863604865,2.2754455,5.190142863604865
1090.0,4,4.735638532781321,2.538546,4.735638532781321
1110.0,6,4.327435689362861,2.9817865,4.327435689362861
1130.0,2,3.960165330394881,1.9648374999999998,3.960165330394881
1150.0,4,3.629155192510039,2.538546,3.629155192510039
1170.0,1,3.330329922540221,1.5633865,3.330329922540221
1190.0,3,3.060126868483223,2.2754455,3.060126868483223
1210.0,1,2.815424845793412,1.5633865,2.815424845793412
1230.0,3,2.593483715003299,2.2754455,2.593483715003299
1250.0,5,2.391892994365575,2.7710820000000003,2.391892994365575
1270.0,0,2.2085280447594093,,2.2085280447594093
1290.0,1,2.0415126185756742,1.5633865,2.0415126185756742
1310.0,2,1.8891867715021025,1.9648374999999998,1.8891867715021025
1330.0,3,1.7500793053920705,2.2754455,1.7500793053920705
1350.0,2,1.622884049098899,1.9648374999999998,1.622884049098899
1370.0,1,1.5064393981529245,1.5633865,1.5064393981529245
1390.0,1,1.3997106281249156,1.5633865,1.3997106281249156
1410.0,0,1.3017745741957025,,1.3017745741957025
1430.0,3,1.2118063338386114,2.2754455,1.2118063338386114
1450.0,1,1.129067703035012,1.5633865,1.129067703035012
1470.0,1,1.052897101035616,1.5633865,1.052897101035616
1490.0,0,0.9827007759317582,,0.9827007759317582
1510.0,0,0.9179451144969768,,0.9179451144969768
1530.0,0,0.8581499059460246,,0.8581499059460246
1550.0,0,0.8028824312914825,,0.8028824312914825
1570.0,1,0.7517522685582078,1.5633865,0.7517522685582078
1590.0,3,0.7044067198183922,2.2754455,0.7044067198183922
1610.0,2,0.660526779309089,1.9648374999999998,0.660526779309089
1630.0,0,0.6198235731811422,,0.6198235731811422
1650.0,0,0.5820352110273544,,0.5820352110273544
1670.0,0,0.5469239975170382,,0.5469239975170382
1690.0,0,0.5142739594473356,,0.5142739594473356
1710.0,1,0.48388864949501914,1.5633865,0.48388864949501914
1730.0,0,0.4555891930712413,,0.4555891930712413
1750.0,0,0.4292125490760661,,0.4292125490760661
1770.0,0,0.4046099591288651,,0.4046099591288651
1790.0,1,0.38164556310619413,1.5633865,0.38164556310619413
1810.0,0,0.3601951616280994,,0.3601951616280994
1830.0,0,0.34014510856189006,,0.34014510856189006
1850.0,0,0.32139131871451665,,0.32139131871451665
1870.0,1,0.30383837770715266,1.5633865,0.30383837770715266
1890.0,0,0.28739874260838555,,0.28739874260838555
1910.0,0,0.2719920232787524,,0.2719920232787524
1930.0,0,0.25754433557822887,,0.25754433557822887
1950.0,0,0.24398771863382526,,0.24398771863382526
1970.0,0,0.23125960927773664,,0.23125960927773664
1990.0,0,0.21930236756520205,,0.21930236756520205
2010.0,0,0.20806284798081068,,0.20806284798081068
2030.0,0,0.19749201155542115,,0.19749201155542115
2050.0,0,0.18754457465457022,,0.18754457465457022
2070.0,0,0.17817869067283873,,0.17817869067283873
2090.0,0,0.16935566128553706,,0.16935566128553706
2110.0,1,0.1610396742765535,1.5633865,0.1610396742765535
2130.0,0,0.15319756528540512,,0.15319756528540512
2150.0,0,0.14579860110301182,,0.14579860110301182
2170.0,0,0.1388142823990469,,0.1388142823990469
2190.0,0,0.13221816398803907,,0.13221816398803907
2210.0,0,0.1259856909402818,,0.1259856909402818
2230.0,1,0.12009404902003315,1.5633865,0.12009404902003315
2250.0,0,0.11452202809026586,,0.11452202809026586
2270.0,0,0.109249897262627,,0.109249897262627
2290.0,1,0.10425929069534162,1.5633865,0.10425929069534162
2310.0,0,0.09953310305238629,,0.09953310305238629
2330.0,0,0.09505539373588115,,0.09505539373588115
2350.0,0,0.09081129909169423,,0.09081129909169423
2370.0,1,0.08678695186697724,1.5633865,0.08678695186697724
2390.0,0,0.08296940726871427,,0.08296940726871427
2410.0,0,0.07934657503542288,,0.07934657503542288
2430.0,0,0.07590715699061545,,0.07590715699061545
2450.0,0,0.07264058959729934,,0.07264058959729934
2470.0,0,0.06953699107827982,,0.06953699107827982
2490.0,0,0.06658711270790038,,0.06658711270790038
2510.0,0,0.0637822939176036,,0.0637822939176036
2530.0,0,0.061114420890788404,,0.061114420890788404
2550.0,0,0.05857588835222368,,0.05857588835222368
2570.0,1,0.05615956428415448,1.5633865,0.05615956428415448
2590.0,0,0.05385875732546878,,0.05385875732546878
2610.0,0,0.05166718663218073,,0.05166718663218073
2630.0,0,0.04957895399726284,,0.04957895399726284
2650.0,0,0.047588518045745244,,0.047588518045745244
2670.0,0,0.04569067033718591,,0.04569067033718591
2690.0,0,0.04388051322227341,,0.04388051322227341
2710.0,0,0.04215343931361488,,0.04215343931361488
